date,price_nominal,year,month,CPI_index,price_real,log_price
137358,137358.0,137358.0,137358.0,137358.0,137358.0,137358.0
2015-09-16 03:23:04.615384832,1407.4854,2015.2564,6.4231,13962.4513,272497.6616,6.0941
2006-01-01 00:00:00,5.0,2006.0,1.0,0.0172,0.0063,0.0063
2010-11-01 00:00:00,60.7433,2010.0,3.0,1.4805,8.1162,2.21
2015-09-16 00:00:00,376.891,2015.0,6.0,169.9702,189.7947,5.2512
2020-08-01 00:00:00,2089.488,2020.0,9.0,5191.2064,12634.4496,9.4443
2025-06-01 00:00:00,18000.0,2025.0,12.0,159353.5111,23308704.0105,16.9643
,2182.2221,5.6329,3.4512,33501.1066,1095415.6733,4.4363
